HotelName,HotelDescription,PriceRange
Cosmopolit Athens Hotel,"LocationThis hotel warmly welcomes guests in Athens.FacilitiesThis hotel has a lift and a 24-hour reception desk. The hotel provides a safe and a laundry service. Wireless internet access is provided in public areas.RoomsCentral heating ensures that rooms maintain comfortable temperatures. Extra beds can be requested. Other features include a television with satellite and cable channels, a plug adapter and WiFi. Bathrooms are equipped with a shower and a hairdryer. Copyright GIATA 2004 - 2019. Multilingual, powered by www.giata.com for client no. 124971MealsA generous breakfast buffet guarantees a great start to the day.",EUR 27 - EUR 54
President Hotel,"HOTEL: This hotelAthens it is in It has 516 comfortable rooms, The establishment boasts a lobby, a bar, a restaurant and a conference room. SITUATION: This hotel is close to museums, the archaeological areas, the business area and the shopping area. ROOM: Each room has individual air-conditioning, a direct line telephone, a satellite TV, WiFi, a radio and a mini-bar.",EUR 91 - EUR 182
Sealife Lounge,"Property Location A stay at Sealife Lounge places you in the heart of Antalya, within a 15-minute walk of Antalya Aquarium and Konyaalti Beach. This hotel is 0.8 mi (1.4 km) fromNonrefundable",EUR 0 - EUR 0
Rivulus Hotel - Baia Mare,"Trough its young, competent and highly trained staff and its new and performant infrastructure it is one of the best choices on the market. The Rivulus Hotel from Baia Mare offers accommodation for 114 persons, 60 rooms (54 doubles and 6 singles). The access in the rooms is made by magnetic cards. The rooms are endowed with internet, air conditioner, international phones, color TV with cable included, minibar, bathroom with shower cabin. Our restaurant and bar are at our customers disposal from 10 AM to 12 PM, with a rich array of Romanian and Italian gastronomical specialities, with a wide range of alcoholic and non alcoholic drinks, so our customers can end the day pleasantly at the bar or the restaurant. The diversity of our menus and the impeccability of the services, contributes at the convenience and recreation of our guests. The Ice and snack-bar of Rivulus Hotel is at our clients disposal 24 hours a day, with a wide range of pastry products, ice creams, sandwiches and other snacks, alcoholic, non-alcoholic drinks, coffees, teas, etc. The conference room is equipped with all necessary logistic support, so it is the perfect place for setting up almost every kind of event.",EUR 47 - EUR 94
Merhaba,"A practical option for the budget-conscious, the 2-star Merhaba Hotel takes pride in being close to both nature and the urban bustle. It offers relaxing and intimate accommodations amidst Well-maintained gardens with lush greenery and flora.* Restaurant serving breakfast buffet, lunch ala carte and dinner buffet in both indoor and al fresco settings * Snack and beverage bar at the garden or by the pool * 24-hour reception * Outdoor pool and lounge areaThe Merhaba hotel has 108 en suite guest rooms * Balcony * Hairdryer * Individual air-conditioning/heating * Television* Antalya Airport - 130 km",EUR 27 - EUR 55
Lykia World Links Golf,"{'hotel_information':'Property Location With a stay at LykiaWorld and LinksGolf Antalya in Manavgat (Denizkent), you'll be within the vicinity of Troy Aqua and Dolphinarium and Eurymedon Bridge. This 5-star resort is within the region of Aspendos Theatre and Aspendos Basilica.Rooms Make yourself at home in one of the 449 air-conditioned rooms featuring free minibar items and LCD televisions. Rooms have private balconies or patios. Complimentary wired and wireless Internet access keeps you connected, and cable programming provides entertainment. Private bathrooms with separate bathtubs and showers feature complimentary toiletries and hair dryers.Rec, Spa, Premium Amenities Pamper yourself with a visit to the spa, which offers massages. You can get some exercise with a round of golf or enjoy a lazy day at the private beach. Additional features include complimentary wireless Internet access, concierge services, and babysitting/childcare (surcharge).Dining This resort is all inclusive. Rates include meals and beverages at onsite dining establishments. Charges may be applied for dining at some restaurants, special dinners and dishes, some beverages, and other amenities. Enjoy a meal at one of the resort's dining establishments, which include 10 restaurants and a coffee shop/café. From your room, you can also access 24-hour room service. Relax with a refreshing drink",EUR 170 - EUR 341
Prins Hendrik,"Hotel Prins Hendrik is situated in a typical Dutch city house, across the street from Amsterdam central station. It offers convenient accommodation and a free breakfast every morning. The bright rooms have large windows which give the rooms a nice atmosphere. They come furnished with a seating area, a work desk and have a private bathroom. Prins Hendriks restaurant offers a varied menu and features a nice terrace for sunny afternoons. The cosy Amsterdam-style bar offers cold beverages and light snacks throughout the day or in the evening. Guests of Hotel Prins Hendrik are within 10 minutes of major attractions like the Anne Frank House and the Royal Palace. Several pubs and theatres are within walking distance of the hotel.From the date of: 27/04/2017 City tax included.",EUR 13010 - EUR 26020
Kaliakra,"Beachfront hotel Kaliakra Beach offers accommodation in modern and comfortable air-conditioned rooms. From the glass balconies you can enjoy an amazing view of Cape Kaliakra and the sand strip of Albena. A team of professional animators provides a host of fun activities for children and adults, including sport challenges, games, evening shows, etc. There is a shallow pool with mini water park and a playground for kids. You can enjoy traditional dishes, delicious temptations, different cheeses, salads, drinks, desserts and fresh fruits from the own bio gardens of Albena in the main restaurant. Breath fresh air on the terrace of the restaurant while enjoying the variety of local food products. The thematic and barbecue dinners make the experience even more varied and you deffinitely need to gift it yourself. Vegetarian, vegan, gluten-free and dietic specials are a part ot the menu to delight every taste. Enjoy your light lunch in the afternoon in the garden of the snack bar. Spend some time for a drink in the lobby bar, lounge bar or the pool bar. Hotel Kaliakra Beach 4* is the perfect place for an affordable family vacation.",EUR 105 - EUR 211
Hotel Chris,"Property Location With a stay at Hotel Chris in Kifisia, you'll be connected to the convention center and close to Goulandris Natural History Museum and Kavoutsakis Art Institute. This hotel is within the vicinity of Υiannis Tsarouchis Foundation Museum and Spathario Museum of Shadow Theatre.Rooms Make yourself at home in one of the 29 air-conditioned rooms featuring refrigerators. Rooms have private balconies. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Private bathrooms with showers feature complimentary toiletries and hair dryers.Rec, Spa, Premium Amenities Make use of convenient amenities such as complimentary wireless Internet access, a television in the lobby, and tour/ticket assistance.Dining Enjoy a bite to eat at a coffee shop/café, or stay in and take advantage of the hotel's 24-hour room service. Quench your thirst with your favorite drink at a bar/lounge.Business, Other Amenities Featured amenities include a 24-hour front desk, luggage storage, and a safe deposit box at the front desk. A roundtrip airport shuttle is provided for a surcharge (available 24 hours), and free self parking is available onsite.",EUR 0 - EUR 0
Bacco,nullFrom the date of: 01/12/2014 City Tax payable directly at the hotel. .,EUR 55 - EUR 111
Senator Hotel Apartments,The SENATOR HOTEL APARTMENTS is a Tourist hotel. Shopping is accessible by bus/taxi and the nightlife/restaurants are easily accessible by taxi or bus from the hotel.,EUR 37 - EUR 74
Cano,"EPS Location 1 and 2 With a stay at Hotel Cano, you'll be centrally located in Torrevieja, a 5-minute drive from Torrevieja Harbour and 14 minutes from La Mata Beach. This residenceNonrefundable",EUR 0 - EUR 0
Avra,"This hotel is located close to the sea, lying just a few minutes' walking distance away from Rafina Marina. Guests will find themselves within easy access of a host of attractions in the area. Olympic Venus and the city centre are located just a short distance away. Rafina ferry port offers many connections to the Aegean islands including Mykonos, Sytos, Tinos, Andros and Evia. Eleftherios Venizelos airport is just 22 km away from the hotel. This delightful hotel beautifully combines elements of traditional and contemporary designs. The rooms reflect the splendour of Greek style, featuring refreshing tones and a peaceful ambience. The hotel offers a range of exemplary facilities, meeting the needs of every type of traveller.",EUR 74 - EUR 148
Erato Art Loft,"Situated in Athens, 1.3 km from Athens Music Hall, Erato Art Loft features accommodation with a terrace, free WiFi and a 24-hour front desk. With city views, this accommodation provides a balcony. The air-conditioned apartment is composed of 1 separate bedroom, a fully equipped kitchen with a microwave and a fridge, and 1 bathroom. A flat-screen TV and a DVD player are available. Lycabettus Hill is 1.9 km from the apartment, while Museum of Cycladic Art is 2.4 km from the property. The nearest airport is Elefthérios Venizélos Airport, 29 km from Erato Art Loft.WiFi is available in the hotel rooms and is free of charge. No parking available. Pets are allowed. Charges may be applicable. All children are welcome. One child under 3 years stays free of charge when using existing beds. There is no capacity for extra beds in the room. The maximum number of total guests in a room is 3. There is no capacity for cots in the room.",EUR 27 - EUR 55
Le Centell Hotel & Spa,"Property Location Located in Antananarivo (Antananarivo Avaradrano), Le Centell Hotel & Spa is within a 15-minute walk of Independence Avenue and Is'Art Galerie. This 4-star hotel isNonrefundable",EUR 81 - EUR 162
Beyaz Butik,"Set in Antalya, 200 metres from Mermerli Beach and 2.3 km from Konyaalti Beach, Beyaz Butik Hotel offers accommodation with free WiFi, air conditioning, a restaurant and a bar. The homestay offers a TV and a private bathroom with a hairdryer, free toiletries and shower. A à la carte breakfast is available every morning at Beyaz Butik Hotel. A garden and a terrace are offered at the accommodation. Popular points of interest near Beyaz Butik Hotel include Hadrian's Gate, Antalya Clock Tower and Old City Marina. The nearest airport is Antalya Airport, 14 km from the homestay.WiFi is available in all areas and is free of charge. No parking available. Pets are not allowed. All children are welcome. There is no capacity for extra beds in the room. The maximum number of total guests in a room is 3. There is no capacity for cots in the room.",EUR 0 - EUR 0
Ibis Budget Agadir,"Welcome to ibis budget hotels, where you can enjoy comfort at a low price! Take the smart option and stay in a Cocoon & Design room, which can accommodate up to 3 persons (depending on the country). The rooms have an XL light shower, a toilet, a flat-screen TV, multimedia connections and WIFI, all at a very affordable price. Enjoy the snack bar any time of day, as well as the unlimited breakfast buffet in the morning!From the date of: 01/03/2016 City Tax payable directly at the hotel.",EUR 33 - EUR 66
Keramos Athens,"EPS Location 1 and 2 Located in Athens (Athens City Centre), Keramos Athens is within a 10-minute walk of Technopolis and Kerameikos Cemetery. This aparthotel is 0.8 mi (1.4 km) fromNonrefundable",EUR 30 - EUR 60
Amman Palace,"The 2-star Amman Palace Hotel offers comfort and convenience whether you`re on business or holiday in Amman. The hotel offers guests a range of services and amenities designed to provide comfort and convenience. 24-hour room service, free Wi-Fi in all rooms, 24-hour security, taxi service, ticket service are on the list of things guests can enjoy. Guestrooms are fitted with all the amenities you need for a good night`s sleep. In some of the rooms, guests can find television LCD/plasma screen, linens, mirror, sofa, towels. The hotel offers various recreational opportunities. Friendly staff, great facilities and close proximity to all that Amman has to offer are three great reasons you should stay at Amman Palace Hotel. Guests over 10 years old are considered as adults.",EUR 25 - EUR 51
Sun Rise Hotel,"LocationWith a stay at Sun Rise Hotel, you'll be centrally located in Amman, within a 5-minute drive of Amman Citadel and The Parliament. This hotel is 3.1 mi (5.1 km) from Amman Roman Theater and 0.8 mi (1.2 km) from King Abdullah I Mosque.RoomsMake yourself at home in one of the 30 air-conditioned rooms featuring minibars and flat-screen televisions. Satellite television is provided for your entertainment. Private bathrooms with showers feature complimentary toiletries and slippers. Conveniences include phones, and housekeeping is provided daily.AmenitiesTake in the views from a terrace and a garden and make use of amenities such as complimentary wireless Internet access. Additional amenities at this hotel include concierge services and a television in a common area.DiningEnjoy a meal at the restaurant, or stay in and take advantage of the hotel's 24-hour room service. A complimentary continental breakfast is served daily from 8 AM to 10 AM.Business, Other AmenitiesFeatured amenities include a 24-hour front desk, luggage storage, and laundry facilities.Know Before You GoCheck In: 1:00 PM - 5:30 AMCheck Out: 12:00 PMExtra-person charges may apply and vary depending on property policy. Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for",EUR 25 - EUR 50
Palmiye Beach Hotel,"Palmiye Beach Hotel offers 55 comfortable rooms, and 4 single rooms and is on the Cleopatra Beach near the centrum. Each room has Air conditioner, Hair dryer, (rent) safebox, Direct Telephone, Satllite TV, Satllite Music canal, bathroom and Wc, and a side sea view balcony.The hotel has close top restaurant with an open side, beach restaurant, and beach bar,swimming pool with childpool ,table tenis,billards and water sports on the beach. It is a drive away from the city centre, there are bus stops nearby, and 120 km away from Antalya airport. Min Child Age: 3. Max Child Age: 12. Extra Info: Refrigerator in the rooms are rentable.Rates are valid only for EU Passport holders.",EUR 0 - EUR 0
Maxim,"This stylish luxury hotel is the perfect base for business and leisure travellers to Oradea. It is located close to the cityapos;s walking trail and architectural attractions. The stylish en-suite accommodation comprises single, twin and double rooms, and two apartments, all featuring a TV, air-conditioning and cable internet. The elegantly furnished apartments also feature a whirlpool bath. Guests can enjoy high quality Romanian and international cuisine in the comfortable and elegant restaurant and relax with a drink in the wine-cellar bar. Guests can swim in the indoor pool and work out in the fitness room, or can relax with a massage and Jacuzzi in the spa. Business travellers can benefit from the conference and meeting rooms with full AV equipment. There is also Wi-Fi in public areas and the indoor terrace and the bar are ideal for all sorts of meetings and events.",EUR 78 - EUR 157
CLUB SIDAR APART HOTEL,"Club Sidar is a complex of rooms and apartments located in Alanya - 400 meters from the famous Kleopatra beach and 1,5 kilometers from the centre - with a wide range of cafes, restaurants, shops and night life in the surrounding area. Hotel facilities include reception, WiFi (extra charge), meeting facilities, shop, restaurant, bar, outdoor pool, water slide, childrenÂ´s pool, sun terrace with snack bar, garden and childrenÂ´s playground. The hotel also features Turkish bath and massages service (with extra charge). In addition, it has mini club, table tennis, billiards, BBQs and evening entertainments with live music. The apartments are equipped with telephone, kitchenette with mini fridge, balcony, bathroom with shower and air conditioning (extra charge). Laundry service is available (with extra charge). Important - During the winter there are no activities and all facilities are closed, only the apartments are open. ** Please note that some of the above facilities may be closed due to weather / seasonal conditions.** Address: M. Sukru Ulusoy Caddesi 24, Sarah Mah 07400 Alanya, Turkey. Aparthotel located in the tourist resort of Alanya, 400 meters from Kleopatra beach.",EUR 18 - EUR 36
Pensiunea Nimbus,"EPS Location 1 and 2 With a stay at Pensiunea Nimbus in Arad, you'll be within a 15-minute walk of New Orthodox Cathedral and Arad City Hall. This bed & breakfast is 0.9 mi (1.4 km)",EUR 46 - EUR 92
Apartamentos Araco 3000,,EUR 0 - EUR 0
Her Hotel And Trade Centre Balikpapan,"Property Location With a stay at Her Hotel & Trade Centre Balikpapan in Balikpapan, you'll be 5.1 mi (8.2 km) from E Walk and 5.4 mi (8.7 km) from Plaza Balikpapan. This hotel is 6.3Refundable",EUR 24 - EUR 48
Hotel White Lagoon - All Inclusive,"Located in Kavarna and surrounded by unspoilt nature, The White Lagoon Beach Resort offers 2 pools of semi-Olympic size with mineral water, a childrens pool, a multifunctional playfield and a gym with panoramic sea views. There are 2 restaurants and 3 bars at guests disposal. The White Lagoon Beach Resort features 2 buildings - a beachfront and an in-park one. A sunshade and 2 sun beds are included in the room rate. The studios and apartments at the beachfront building are modernly furnished and come with air conditioning, WiFi, a flat-screen TV with satellite channels and an equipped kitchenette. Free parking is available. The in-park building is set 300 metres from the beach. The rooms at this building are equipped with air conditioning, a TV with satellite channels and an en-suite bathroom. All rooms have a balcony. Free WiFi and free parking are provided. The main restaurant of The White Lagoon Beach Resort opens to scenic sea views. Its international cuisine is inspired by the concepts of healthy and diverse diets, with a lot of fresh fruits and vegetables, meat and fish dishes. Every evening menu is based on a theme - Middle Eastern food, BBQ, Asian, American, Italian, Bulgarian",EUR 99 - EUR 199
J.icon Hip Hotel,"Property Location With a stay at J.icon Hip Hotel in Balikpapan, you'll be within a 10-minute drive of Plaza Balikpapan and E Walk. This hotel is 2.3 mi (3.8 km) from MonumentRefundable",EUR 33 - EUR 67
Morska Zvezda,"Situated in Balchik, 1.2 km from The Palace Beach, Family Hotel Morska Zvezda features accommodation with a restaurant, free private parking, a bar and a shared lounge. All rooms boast a flat-screen TV with satellite channels and a private bathroom. The air-conditioned rooms come with a wardrobe and free WiFi. At the hotel, the rooms have a balcony. All rooms will provide guests with a fridge. Family Hotel Morska Zvezda offers a terrace. Guests at the accommodation will be able to enjoy activities in and around Balchik, like cycling. Languages spoken at the 24-hour front desk include Russian, Bulgarian, English and Romanian. The Palace of Queen Maria is 2.9 km from Family Hotel Morska Zvezda, while Botanic Garden Balchik is 2.9 km from the property. The nearest airport is Varna, 49 km from the hotel, and the property offers a paid airport shuttle service.WiFi is available in all areas and is free of charge. Free public parking is possible at a location nearby (reservation is not possible). Pets are allowed. Charges may be applicable. All children are welcome. One child under 4 years stays free of charge in a child's cot/crib. One older child or adult is charged BGN 10",EUR 25 - EUR 51
Flora Maria Hotel,"LocationThis apartment hotel is located in Ayia Napa.FacilitiesA range of services and facilities at the hotel offer guests the opportunity to combine business with pleasure. Guests arriving by car can park their vehicles in the car park.RoomsThe rooms include air conditioning, a kitchen and a bathroom. A balcony is included as standard in some rooms. Guests are sure to get a good night's sleep in the double bed. Valuables can be securely stored in a safe for an additional charge. Extra comforts include a refrigerator. A telephone, a flatscreen television with satellite channels and WiFi (no extra charge) ensure optimal comfort. Bathrooms are equipped with a shower.Sports/EntertainmentThe pool complex promises pleasant and carefree swimming. Copyright GIATA 2004 - 2019. Multilingual, powered by www.giata.com for client no. 124971MealsThe hotel offers a wide range of catering options. Half board, full board and all-inclusive can be booked. A delicious and varied buffet awaits guests at breakfast, lunch and dinner. The apartment hotel also offers snacks. The hotel offers a selection of alcoholic and non-alcoholic beverages.",EUR 35 - EUR 70
Botel,"Welcome on board the Botel Hotel - a unique 3-star experience in every way! Situated now across the Het IJ, only 10 minutes from central Station by the free hotel ferry shuttle, the Amstel is a modern, superior floating hotel with 175 comfortable guestrooms, all of which are equipped with satellite TV, radio, safe, pay TV and en suite shower/WC facilities as standard. The new hotel's location is the former NDSM-shipyard. This colourful and vital dockside area now houses workshops and artists' studios, hip cafes and restaurants, exhibitions and performances. Among others the media wharf houses MTV, Robodock, and the IJ-festival. The free ferry connection (and shuttle bus) makes this charming and intriguing city easy to explore and discover. Once in Central Station, many of Amsterdam's sights and attractions can be easily reached on foot; Dam Square, Anne Frank's House, the Flower Market, as well as the famous (or infamous!) Red Light District. Once the day's sightseeing draws to an end, guests are invited to relax in the hotel bar, or enjoy a game or two of pool over a nice cold glass of beer - naturally! ***Customers must pay a city tax by the property***From the date of: 01/01/2020",EUR 30 - EUR 60
PERUNICA HOTEL,"The hotel is located about 250 meters from the center of Golden Sands, and only 150 meters from the fine sandy beach.Perunika hotel offers comfortable accommodation, rooms are medium in size and furnished with cable TV, mini-bar, telephone, air-conditioning and balcony, shower and WC. Bathrooms are also medium in size, well decorated and tastefully furnished.With a capacity of 150 seats and a pleasant atmosphere, the restaurant serves European and national Bulgarian cuisine.Purpose built block.Medium in size with a bar attached and decorated in light colours.Hotel offers comfortable accommodation and a fine range of facilities.",EUR 27 - EUR 54
HILTON GARDEN INN ISPARTA,This lovely hotel is set in Antalya City.,EUR 0 - EUR 0
Argos,"Property Location With a stay at Argos Hotel, you'll be centrally located in Antalya, within a 5-minute walk of Alaaddin Mosque and Clock Tower. This beach hotel is 0.3 mi (0.5 km)Nonrefundable",EUR 48 - EUR 97
Exis Boutique,"Property Desc:Property Location With a stay at Exis Boutique Hotel in Athens, you'll be within a 5-minute drive of Syntagma Square and Acropolis Museum. This hotel is 2.9 mi (4.6 km) from Acropolis and 2.9 mi (4.6 km) from Parthenon.Rooms Make yourself at home in one of the 26 air-conditioned rooms featuring DVD players. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Conveniences include desks, as well as phones with free local calls.Amenities Enjoy recreation amenities such as a spa tub or take in the view from a rooftop terrace. This hotel also features complimentary wireless Internet access, concierge services, and a television in a common area.Dining Satisfy your appetite at the hotel's coffee shop/café, or stay in and take advantage of the 24-hour room service. Wrap up your day with a drink at the bar/lounge. Continental breakfasts are available daily for a fee.Business, Other Amenities Featured amenities include express check-in, a 24-hour front desk, and luggage storage.Attractions Distances are displayed to the nearest 0.1 mile and kilometer. Hellenic Motor Museum - 1.5 km / 0.9 mi National Archaeological Museum of Athens - 1.6 km / 1 mi National Technical University of Athens",EUR 31 - EUR 62
Flamingo Residence,This lovely hotel is set in Konyaalti/Antalya with self catering large apartments. 1 and 2 bedroom apartments are designed especially for the comfort of big families and friend groups. Property has a pool and a sunbathing area. All apartments are furnished like a real apartment to make the guests feel as if they are at their own home and all kitchen tools are provided.,EUR 13 - EUR 26
AGRINO HOTEL APARTMENTS,"LocationThis accommodation is located in Ayia Napa.FacilitiesThe friendly staff at the reception desk are happy to answer any questions. To ensure a comfortable and relaxing stay, the accommodation provides a transfer service. Wireless internet access allows guests to stay connected while on holiday.RoomsAir conditioning ensures that rooms maintain just the right temperature. A balcony is included as standard in some rooms. Guests are sure to get a good night's sleep in the double bed. Separate bedrooms are available. The kitchenette comes with a stovetop and a tea/coffee station. Other features include a TV and WiFi. Bathrooms are equipped with a shower.Sports/EntertainmentGuests can enjoy a refreshing swim in the outdoor pool area. Copyright GIATA 2004 - 2019. Multilingual, powered by www.giata.com for client no. 124971MealsA continental breakfast is served daily.",EUR 30 - EUR 61
Mevre,"Property Location With a stay at Hotel Mevre, you'll be centrally located in Antalya, within a 10-minute walk of Clock Tower and Alaaddin Mosque. This hotel is 1 mi (1.7 km) fromNonrefundable",EUR 26 - EUR 53
Althea,"LocationThis hotel is located 850 m away from the beach, close to the international Maastricht College. There is a hairdresser's and shops close to the hotel. In addition, Varna Airport is 40 km away.FacilitiesThe hostel has 6 single rooms and 194 double rooms, which are located on 4 storeys and are reachable by lift. Staffed 24 hours a day, the reception desk makes check-in and check-out easy. A safe, a currency exchange service, a newspaper stand, a TV room, a childcare service and a hairdresser are available. Wireless internet access allows guests to stay connected while on holiday. There are also a number of shops that make for great strolling and browsing. The grounds of the hostel feature a playground and a lovely garden. Guests arriving by car can park their vehicles in the car park for a fee. Services include a hotel shuttle bus. Active guests can make use of the bicycle hire service (for a fee) to explore the surrounding area.RoomsRooms are equipped with air conditioning. Some rooms include a balcony. All rooms are carpeted and include a double bed. Children's beds can be requested for younger guests. Additional features include a refrigerator and a mini fridge. A",EUR 59 - EUR 118
Lavinia Apart,"The apart hotel Lavinia Apart Hotel is located approx. 350 m from the private beach. The nearest bars and restaurants can be found at a distance of around 1 km. The old town is around 4 km away. A supermarket is around 700 m away. On the beach are cuThe apart hotel Lavinia Apart Hotel is located approx. 350 m from the private beach. The nearest bars and restaurants can be found at a distance of around 1 km. The old town is around 4 km away. A supermarket is around 700 m away. On the beach are cushions and sun umbrellas available. The hotel is equipped with a 24h reception, Wi-Fi (for a fee), a lift, a supermarket and other shops, a hairdresser, a first aid kit as well as parking spaces. In the outdoor area you will find a seasonally open pool, where sun loungers and sun umbrellas are available for free. For your comfort the hotel page will ensure you are looked after. The energy supply is 220 Volts. Catering Your physical well-being is catered for by the pool bar. Distances Airport: approx. 135 km Pharmacy: approx. 400 m Hospital: approx. 2,5 km Sports & Leisure A",EUR 19 - EUR 39
Resitalya,"Property Desc:Property Location When you stay at Resitalya Hotel in Alanya, you'll be near the beach, within a 5-minute drive of Kleopatra Beach and Damlatas Caves. This beach hotel is 1.8 mi (2.8 km) from Alanya Aquapark and 1.9 mi (3.1 km) from Alanya Harbor.Rooms Make yourself at home in one of the 29 guestrooms. Cable programming provides entertainment, and wired and wireless Internet access is available for a surcharge. Private bathrooms with showers feature complimentary toiletries and hair dryers.Amenities Take in the views from a garden and make use of amenities such as complimentary wireless Internet access and babysitting/childcare (surcharge).Dining Enjoy international cuisine at Cesar, a restaurant which features a bar/lounge, or stay in and take advantage of the room service (during limited hours). Breakfast is available daily for a fee.Business, Other Amenities Featured amenities include complimentary wired Internet access, a 24-hour front desk, and luggage storage. A roundtrip airport shuttle is provided for a surcharge (available 24 hours), and free self parking is available onsite.Attractions Distances are displayed to the nearest 0.1 mile and kilometer. Keykubat Plajı - 0.1 km / 0.1 mi Anjeliq Beach - 0.7 km / 0.4 mi Alanya State Hospital - 0.8 km /",EUR 10 - EUR 21
Borjana,"LocationThe hotel is situated on the beach close to the Baltata Reserve in Albena. The town of Balchik is 12 km away. Guests can reach Burgas in 150 km and Istanbul is 475 km away. Varna Airport is approximately 45 km from the hotel.FacilitiesThe hotel was built in 1875. 6 suites, 12 single rooms and 158 double rooms are located on 176 storeys and can be reached by lift. Check-in and check-out are possible at any time at the 24-hour reception desk. To ensure guests a comfortable and relaxing stay, the hotel provides various services and facilities, including a safe, a currency exchange service, a newspaper stand and a childcare service. Wireless internet access (for a fee) allows guests to stay connected while on holiday. A number of shops, including a supermarket, are great for shopping or just browsing. There is also a playground for younger guests. Guests arriving by car can park their vehicles in the car park. A bicycle hire service provides all the necessary equipment for exploring the surrounding area.RoomsAir conditioning and individually adjustable heating ensure that rooms maintain comfortable temperatures. Guests can enjoy the sea view from a balcony or terrace. Children's beds can be requested",EUR 51 - EUR 103
Arena Space,"Travellers can feel at home in one of the 148 rooms. Individual storeys are accessible via the lift or stairs. Services and facilities at the hotel include a restaurant, a dining area, a bar, a conference room and a business centre. Wireless internet access in public areas allows guests to stay connected. Those arriving in their own vehicles can leave them in the car park of the hotel.",EUR 53 - EUR 106
Annapurna Atitam,,EUR 0 - EUR 0
Cinar Butik,This lovely hotel is in Antalya Old Town. Pets are not permitted on the premises.,EUR 21 - EUR 43
The Alfred Hotel,"Are you looking for a hotel where you can enjoy the buzz, but also the tranquility of an international city? Then The Alfred Hotel is the ideal location for you! This chic 3-Star hotel has recently been renovated and transformed to provide trendy, modern and comfortable accommodation for all its guests. The Hotel is suitable for anyone who is looking for culture, architecture, culinary adventures, and a chance to experience local life in Amsterdam. The Alfred Hotel is ideally located in the South district of Amsterdam. You can start your day with a walk through Vondelpark that will lead you to the Museumplein where you can discover the world renowned Rijksmuseum. In the Museumplein you can also discover fine dining at the Rijks Restaurant, masterpieces at the Van Gogh Museum, modern art at the Stedelijk Museum, or one of the many concerts at Het Concertgebouw. A five minute walk from the Museumplein will take you to the picturesque World Heritage Unesco recognized Amsterdam Canals. Be sure to rent a bike to explore Amsterdam even better. All rooms are equipped with a desk, telephone, for calling the reception, TV, and personal safe and a shower and hairdryer in each bathroom.From the",EUR 0 - EUR 0
Austria Trend Salzburg West,"This 4-star hotel, with a total of 152 rooms, with the bus you will reach the Salzburg city centre in just 15 minutes. The location hotel the hotel offers guests numerous options, such as the proximity to the Outlet Center Salzburg, the airport and the Salzburg exhibition centre. There are a broad range of opportunities close to the hotel - for dining, recreation, shopping, fitness - add the perfect finishing touch. It makes the hotel a perfect base for guests leisure activities. The modern design greets you in the rooms, decorated with loving attention to detail, all of 152 rooms feature free internet, air-conditioning, satellite TV, radio, telephone, mini bar, as well as a hairdryer, under floor heating and makeup mirror in the bathroom. The hotels restaurant awaits you with a range of hearty Salzburg dishes, as well as Austrian and international specialities. Wine and dine in a pleasant atmosphere, allowing the creations from the kitchen team to melt in your mouth. Enjoy an energising start to your day! The chef and his team put together a lavish breakfast buffet that reflects boundless love for detail. A wonderful selection of breakfast rolls and breads, fresh fruit, fruit juices, egg dishes",EUR 68 - EUR 137
I Hotel,"LocationThis hotel warmly welcomes guests in Amsterdam.FacilitiesThe friendly staff at the reception desk are happy to answer any questions. The hotel provides a baggage storage service and a library. Wireless internet access is provided in public areas.RoomsAir conditioning ensures that rooms maintain comfortable temperatures. The rooms have a double bed and a sofa bed. An ironing set is provided for guests' convenience. A TV and WiFi are provided as well. A hairdryer is provided in the bathrooms. Copyright GIATA 2004 - 2019. Multilingual, powered by www.giata.com for client no. 124971MealsCulinary offerings include a bar. A generous breakfast buffet guarantees a great start to the day.",EUR 42 - EUR 84
Citiez Amsterdam,"LocationThis hotel welcomes guests in Amsterdam.FacilitiesThe friendly staff at the reception desk are happy to answer any questions. Services and facilities include a baggage storage service, a safe and a theatre hall. Wireless internet access in public areas allows guests to stay connected. Guests arriving by car can park their vehicles in the car park. A bicycle hire service gives guests the opportunity to explore the surrounding area independently.RoomsRooms are equipped with air conditioning. Rooms include a double bed. A TV and WiFi ensure optimal comfort. Bathrooms are equipped with a shower and include a hairdryer. Family rooms are available for parents with children. Copyright GIATA 2004 - 2019. Multilingual, powered by www.giata.com for client no. 124971MealsCulinary offerings include a bar. A generous breakfast buffet guarantees a great start to the day.",EUR 35 - EUR 71
